数据库：年度数据
时间：最近10年
指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年
进出口总额(人民币)(亿元),420678.00,390921.67,322215.20,315627.30,305010.10,278099.20,243386.46,245502.93,264241.77,258168.89
出口总额(人民币)(亿元),239654.00,217287.38,179278.80,172373.60,164128.80,153309.40,138419.29,141166.83,143883.75,137131.43
进口总额(人民币)(亿元),181024.00,173634.29,142936.40,143253.70,140881.30,124789.80,104967.17,104336.10,120358.03,121037.46
进出口差额(人民币)(亿元),58630.00,43653.10,36342.40,29119.90,23247.50,28519.60,33452.12,36830.73,23525.72,16093.98
进出口总额(美元)(百万美元),,6050170.00,4655910.00,4577890.00,4622440.00,4107140.00,3685557.00,3953033.00,4301527.00,4158993.00
出口总额(美元)(百万美元),,3363023.00,2589950.00,2499480.00,2486700.00,2263340.00,2097631.00,2273468.00,2342293.00,2209004.00
进口总额(美元)(百万美元),,2687143.00,2065960.00,2078410.00,2135750.00,1843790.00,1587926.00,1679564.00,1959235.00,1949989.00
进出口差额(美元)(百万美元),,675880.00,523990.00,421070.00,350950.00,419550.00,509705.00,593904.00,383058.00,259015.00
注：1.进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
　　　2.货物进出口差额负数为逆差。
数据来源：国家统计局
